"","author","title","word","n"
"86","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_no_",2
"87","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_none",1
"88","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_nor_",1
"89","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_not_",3
"90","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_now",1
"91","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_now_",3
"92","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_of_fensive",1
"93","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_on",1
"94","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_one_",2
"95","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_op_",1
"96","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_over_",1
"97","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_patronized",1
"98","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_pay_",2
"99","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_picture_",1
"100","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_proved_",1
"101","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_real_",1
"102","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_realize_",1
"103","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_s",1
"104","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_said_",1
"105","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_saw_",1
"106","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_see_",1
"107","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_settled_",1
"108","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_short_",2
"109","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_sir_",1
"110","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_slaves",1
"111","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_so_",2
"112","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_some_body",1
"113","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_something_",1
"114","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_strike_",2
"115","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_such_",1
"116","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_tableau_",1
"117","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_that_",8
"118","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_the",1
"119","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_them_",4
"120","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_then_",1
"121","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_there_",1
"122","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_they_",6
"123","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_thing_",1
"124","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_think_",1
"125","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_thinks_",1
"126","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_this_",2
"127","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_those_",1
"128","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_thought_",1
"129","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_through",1
"130","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_to",2
"131","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_to_",1
"132","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_too_",1
"133","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_twenty",1
"134","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_twenty_",1
"135","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_two",1
"136","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_understand_",1
"137","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_unknown_",1
"138","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_us_",1
"139","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_was_",2
"140","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_wasn't_",2
"141","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_we_",3
"142","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_weekly",1
"143","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_were_",3
"144","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_what's",1
"145","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_what_",1
"146","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_whereabouts_",1
"147","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_which_",3
"148","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_who_",1
"149","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_whom_",1
"150","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_why_",2
"151","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_will_",3
"152","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_wish_",1
"153","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_without_",1
"154","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_worse_",1
"155","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_would_",2
"156","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_you_",13
"157","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_your_",2
"158","Twain, Mark","A Connecticut Yankee in King Arthur's Court","1",14
"159","Twain, Mark","A Connecticut Yankee in King Arthur's Court","1,000,000",1
"160","Twain, Mark","A Connecticut Yankee in King Arthur's Court","1,244",1
"161","Twain, Mark","A Connecticut Yankee in King Arthur's Court","1,600",1
"162","Twain, Mark","A Connecticut Yankee in King Arthur's Court","10",4
"163","Twain, Mark","A Connecticut Yankee in King Arthur's Court","10,000",1
"164","Twain, Mark","A Connecticut Yankee in King Arthur's Court","100",3
"165","Twain, Mark","A Connecticut Yankee in King Arthur's Court","11",1
"166","Twain, Mark","A Connecticut Yankee in King Arthur's Court","12",1
"167","Twain, Mark","A Connecticut Yankee in King Arthur's Court","13th",1
"168","Twain, Mark","A Connecticut Yankee in King Arthur's Court","14",1
"169","Twain, Mark","A Connecticut Yankee in King Arthur's Court","15",1
"170","Twain, Mark","A Connecticut Yankee in King Arthur's Court","150",1
"171","Twain, Mark","A Connecticut Yankee in King Arthur's Court","16",1
"172","Twain, Mark","A Connecticut Yankee in King Arthur's Court","16th",1
"173","Twain, Mark","A Connecticut Yankee in King Arthur's Court","1879",1
"174","Twain, Mark","A Connecticut Yankee in King Arthur's Court","1889",1
"175","Twain, Mark","A Connecticut Yankee in King Arthur's Court","2",10
"176","Twain, Mark","A Connecticut Yankee in King Arthur's Court","2,700",1
"177","Twain, Mark","A Connecticut Yankee in King Arthur's Court","2,800",1
"178","Twain, Mark","A Connecticut Yankee in King Arthur's Court","200",2
"179","Twain, Mark","A Connecticut Yankee in King Arthur's Court","20th",3
"180","Twain, Mark","A Connecticut Yankee in King Arthur's Court","21",1
"181","Twain, Mark","A Connecticut Yankee in King Arthur's Court","21st",3
"182","Twain, Mark","A Connecticut Yankee in King Arthur's Court","24",1
"183","Twain, Mark","A Connecticut Yankee in King Arthur's Court","240",1
